"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,phi,,text,"Record ID",,,,,,,,,,,,,
phi_first_name,phi,,text,"First Name",,,,,,y,,y,,,,,
phi_last_name,phi,,text,"Last Name",,,,,,y,,y,,,,,
phi_mrn,phi,,text,MRN,,"Must be 12 digit Epic MRN",epic_mrn,,,y,,y,,,,,
phi_dob,phi,,text,"Date of Birth",,,date_mdy,,,y,,y,,,,,
phi_zipcode,phi,,text,"Zip Code",,,zipcode,,,y,,,,,,,
phi_telephone,phi,,text,"Telephone Number",,,phone,,,y,,,,,,,
phi_inmate,phi,,radio,Inmate?,"1, Yes | 0, No",,,,,y,,y,,,,,
demo_gender,demographics,,radio,"Patient Identified Gender","1, Male | 2, Female | 3, Transgender | 4, Non-binary | 99, Other",,,,,,,,,,,,
demo_gender_other,demographics,,text,"If other, please describe",,,,,,,"[demo_gender] = '99'",,,,,,
demo_age,demographics,,calc,"Patient's Age","rounddown(datediff([phi_dob], 'today', 'y'))",,,,,,,,,,,,
demo_race,demographics,,dropdown,Race,"1, American Indian or Alaska Native | 2, Asian/ Asian-American | 3, Black/ African-American | 4, Middle Eastern or North African | 5, Native Hawaiian or Other Pacific Islander | 6, White/ Caucasian | 7, Multiple races | 0, Unknown | 99, Other","What is patient's race?",,,,,,y,,,,,
demo_race_other,demographics,,text,"Race - Multiple or Other",,,,,,,"[demo_race] = '7' or [demo_race] = '99'",,,,,," @PLACEHOLDER=""Please Specify"""
demo_ethnicity,demographics,,dropdown,"Hispanic or Latinx?","1, Yes | 2, No | 999, Unknown",Ethnicity,,,,,,y,,,,,
demo_employed,demographics,,radio,Employed,"1, Yes | 0, No | 999, Unknown","Is the patient currently employed?",,,,,,,,,,,
demo_education,demographics,,radio,Education,"0, 12th grade or less | 1, High school or equivalent | 2, College or equivalent | 3, Associate's Degree | 4, Bachelor's Degree | 5, Post-Graduate Degree | 999, Unknown","Highest degree completed",,,,,,,,,,,
